,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
25,B244,10.110375,41.30986111,0.43,275.56,5.9,-0.4313,0.042,-1.4,0.3,-247.8,2.1,54.2,3.7
26,B008-G060,10.12616667,41.26908333,0.42,270.16,5.7,-0.4197,0.0012,-0.8,0.2,-323.2,0.4,-21.3,3
27,B010-G062,10.1315,41.23958333,0.42,266.1,5.7,-0.4159,-0.0284,-1.8,0.2,-161.7,0.6,140.2,3.1
28,B012-G064,10.13525,41.36227778,0.42,282.88,5.8,-0.4123,0.0943,-1.7,0.2,-360.7,0.6,-58.7,3.1
29,B013-G065,10.160125,41.42325,0.42,291.53,5.8,-0.3933,0.1552,-0.5,0.2,-416.7,0.6,-114.6,3.1
30,B015-V204,10.18758333,40.99897222,0.46,234.33,6.3,-0.3751,-0.2692,-0.1,0.2,-460,7.3,-158.6,7.9
31,B016-G066,10.18816667,41.36941667,0.39,285.2,5.3,-0.3725,0.1012,-0.7,0.2,-388.4,5.4,-86.4,6.2
32,B336-G067,10.19833333,42.14533333,0.95,337.65,12.9,-0.3606,0.8772,-2.5,0.6,-609,27.2,-306,27.4
33,B337-G068,10.20195833,42.20305556,1,339.07,13.6,-0.3576,0.9349,-1.2,0.2,-278.5,14.1,24.5,14.4
34,B017-G070,10.20304167,41.20197222,0.37,259.63,5,-0.3623,-0.0663,-0.8,0.2,-535.6,0.5,-233.9,3
35,B246,10.217875,40.89886111,0.51,223.68,7,-0.3528,-0.3695,-0.7,0.4,-472.9,1.4,-171.6,3.3
36,B019-G072,10.21883333,41.31494444,0.35,277.59,4.8,-0.3498,0.0466,-0.8,0.2,-222.1,0.5,79.7,3
37,B020-G073,10.23025,41.69033333,0.54,321.2,7.4,-0.3393,0.422,-0.9,0.2,-349.7,0.5,-47.4,3
38,B338-G076,10.24529167,40.59663889,0.75,206.41,10.2,-0.3336,-0.6718,-1.1,0.2,-275.8,11.8,25,12.2
39,B021-G075,10.24579167,41.09419444,0.37,242.21,5.1,-0.3307,-0.1743,-0.5,0.2,-425.5,0.5,-124,3
40,B022-G074,10.24616667,41.41166667,0.36,293.54,4.9,-0.3288,0.1432,-1.8,0.2,-454.4,10.9,-152.5,11.3
41,B339-G077,10.25295833,39.93172222,1.38,193.91,18.7,-0.3311,-1.337,-0.5,0.2,-227.1,12.6,72.7,13
42,B023-G078,10.25495833,41.22936111,0.33,263.1,4.4,-0.3231,-0.0391,-0.7,0.2,-443.3,0.6,-141.7,3.1
43,B248,10.28308333,40.88361111,0.49,218.26,6.7,-0.3036,-0.385,-1.4,0.2,-576.4,0.9,-275.3,3.1
44,B341-G081,10.288125,40.598,0.74,204.18,10,-0.3011,-0.6706,-0.9,0.2,-362.2,0.5,-61.5,3
45,B024-G082,10.29941667,41.76363889,0.57,329.87,7.8,-0.2873,0.495,-0.6,0.2,-215,4.9,87.3,5.7
46,B025-G084,10.30229167,41.00786111,0.39,227.89,5.3,-0.2885,-0.2608,-1.4,0.2,-201.7,0.5,99.5,3
47,B249,10.30241667,41.02019444,0.38,229.25,5.2,-0.2883,-0.2485,0.3,0.3,-536.7,8.8,-235.4,9.3
48,B027-G087,10.31058333,40.93080556,0.44,219.91,6,-0.2826,-0.3379,-1.3,0.2,-286.6,0.7,14.5,3.1
49,B026-G086,10.310625,41.41113889,0.31,296.93,4.3,-0.2805,0.1425,-0.4,0.2,-256.3,0.6,45.5,3.1
50,B028-G088,10.31875,40.98422222,0.4,224.15,5.4,-0.2762,-0.2845,-2.5,0.2,-400.1,0.8,-98.9,3.1
51,B020D-G089,10.32179167,41.13586111,0.3,244.07,4.1,-0.2732,-0.1328,-2.1,0.3,-558.5,0.7,-257.1,3.1
52,B029-G090,10.32425,41.00638889,0.38,226.03,5.1,-0.2719,-0.2623,-0.3,0.2,-505.2,0.6,-204,3.1
53,B030-G091,10.32808333,40.95433333,0.41,220.58,5.6,-0.2692,-0.3144,-0.3,0.2,-392.9,0.6,-91.8,3.1
54,B031-G092,10.33720833,40.9845,0.39,222.69,5.3,-0.2622,-0.2843,-0.5,0.2,-319,0.6,-17.9,3.1
55,B032-G093,10.339625,41.29172222,0.26,275.06,3.5,-0.2592,0.023,-0.7,0.2,-526.3,6.6,-224.7,7.2
56,B033-G095,10.36,41.00388889,0.36,222.76,4.9,-0.245,-0.2649,-1.6,0.3,-453.6,0.8,-152.5,3.1
57,B034-G096,10.36716667,40.89711111,0.44,212.84,6,-0.2399,-0.3717,-0.6,0.2,-556.5,9.7,-255.5,10.2
58,B457-G097,10.37179167,42.31030556,1.07,347.48,14.5,-0.2314,1.0416,-1.1,0.3,-330,17.7,-27.2,18
59,B035,10.38575,41.64241667,0.44,329.13,5.9,-0.2233,0.3735,-0.8,0.2,-49.3,0.4,252.7,3
60,B036,10.38679167,41.43475,0.28,306.61,3.8,-0.2233,0.1659,-0.8,0.2,-510.3,0.5,-208.6,3
61,B037-V327,10.39575,41.24863889,0.22,264.67,3,-0.2172,-0.0203,-0.8,0.2,-330.3,1.4,-28.9,3.3
62,B038-G098,10.39979167,41.32077778,0.22,283.63,3,-0.2139,0.0519,-1.7,0.2,-179.4,0.6,122.1,3.1
