"x","y","V_M31","V_sig","Fe_H","r","theta","Fe_H_err"
29.74847,-23.15855204,-296,8,1001,37.7,-0.661479786,0.2
28.29791103,-15.36451208,-122,23,1001,32.2,-0.497418837,0.2
27.4459465,-8.391067926,-132,3,1001,28.7,-0.296705973,0.2
26.22811538,-22.71950624,-29,4,1001,34.7,-0.713839664,0.2
25.00458584,-22.59337706,-173,6,1001,33.7,-0.734783615,0.2
22.25921277,-18.74399763,-160,4,1001,29.1,-0.69987703,0.2
18.14669527,53.61210172,263,9,1000,56.6,1.244419757,0.2
12.93971361,40.0621244,94,8,1000,42.1,1.258382391,0.2
12.66252143,-48.26666086,-98,10,1000,49.9,-1.314232927,0.2
10.13767195,41.2732069,174,12,1000,42.5,1.32994089,0.2
-2.127283209,50.75543977,99,21,1000,50.8,1.612684229,0.2
-15.42148485,-45.56081436,-111,15,1001,48.1,-1.897172897,0.2
-22.96778295,-113.9075105,-73,4,1000,116.2,-1.769763861,0.2
-26.85010641,4.348768305,102,7,1000,27.2,2.981022362,0.2
-27.47340664,18.46136311,203,9,1001,33.1,2.549926037,0.2
-28.72674992,51.19046629,202,6,1000,58.7,2.082177798,0.2
-32.54041804,21.13199456,176,15,1001,38.8,2.565634,0.2
-35.02240021,16.93048977,161,7,1001,38.9,2.691297707,0.2
-38.77730695,6.977138769,-55,11,1001,39.4,2.96356907,0.2
-41.7547678,-43.08757787,0,4,1001,60,-2.340486527,0.2
-42.26282177,-54.28898504,-79,6,1001,68.8,-2.232276113,0.2
-40.407956,10.29985883,159,16,1001,41.7,2.892010571,0.2
-40.80851347,17.23819099,163,16,1001,44.3,2.741912255,0.2
-41.27392138,16.09202951,-64,16,1001,44.3,2.769837523,0.2
-41.28468505,39.59058955,93,14,1000,57.2,2.377138441,0.2
-68.51325346,-72.70449849,-12,4,1000,99.9,-2.326523893,0.2
-75.74700439,19.02633242,-9,9,1000,78.1,2.895501229,0.2
-93.09171058,-23.03786927,8,3,1000,95.9,-2.898991888,0.2
-93.11386386,-22.52661444,-66,3,1000,95.8,-2.904227875,0.2
-102.218014,14.91199556,40,4,1001,103.3,2.996730326,0.2
-116.3984044,-0.60946619,90,7,1001,116.4,-3.136356666,0.2
-119.3934532,1.250331023,109,10,1001,119.4,3.131120678,0.2
